,Distriktskod,Distrikt,Antal områden,Forsamlingskod,Församling,Andel församling
0,101001.0,Falsterbo,,123305,Skanör-Falsterbo,100
1,101002.0,Maglarp,,128706,Hammarlöv,99.89
2,101003.0,Trelleborg,,128706,Hammarlöv,1
3,101003.0,Trelleborg,,128701,Trelleborg,98.9399999999999
4,101004.0,Dalköpinge,,128701,Trelleborg,1.42
5,101004.0,Dalköpinge,,128715,Dalköpinge,98.5799999999999
6,101005.0,Gislöv,,128715,Dalköpinge,100
7,101006.0,Kyrkoköpinge,,128701,Trelleborg,0.7
8,101006.0,Kyrkoköpinge,,128715,Dalköpinge,99.2999999999999
9,101007.0,Östra Torp,,128721,Källstorp,100
10,101008.0,Lilla Isie,,128721,Källstorp,99.5499999999999
11,101009.0,Simlinge,,128715,Dalköpinge,100
12,101010.0,Södra Åby,,128721,Källstorp,100
13,101011.0,Hemmesdynge,,128721,Källstorp,100
14,101012.0,Äspö,,128721,Källstorp,100
15,101013.0,Lilla Beddinge,,128721,Källstorp,100
16,101014.0,Tullstorp,,128721,Källstorp,100
17,101015.0,Skanör,,123305,Skanör-Falsterbo,100
18,101016.0,Räng,2.0,123305,Skanör-Falsterbo,1.13
19,,,,123309,Höllviken,98.87
20,,,,123309,Höllviken,99.93
21,101017.0,Skegrie,,128706,Hammarlöv,99.9599999999999
22,101018.0,Bodarp,,128706,Hammarlöv,99.9899999999999
23,101019.0,Stora Hammar,2.0,123309,Höllviken,100
24,,,,123309,Höllviken,100
25,101020.0,Vellinge,,123304,Vellinge-Månstorp,99.95
26,101021.0,Fuglie,,128706,Hammarlöv,99.98
27,101022.0,Mellan-Grevie,,123304,Vellinge-Månstorp,99.9899999999999
28,101023.0,Västra Tommarp,,128706,Hammarlöv,99.8199999999999
29,101024.0,Västra Vemmerlöv,,128706,Hammarlöv,99.9899999999999
30,101025.0,Hammarlöv,,128706,Hammarlöv,100
31,101026.0,Gylle,,128706,Hammarlöv,6.63
32,101026.0,Gylle,,128715,Dalköpinge,93.3599999999999
33,101027.0,Bösarp,,128715,Dalköpinge,99.87
34,101028.0,Östra Grevie,,123304,Vellinge-Månstorp,99.9
35,101029.0,Alstad,,128731,Anderslöv,99.9699999999999
36,101030.0,Östra Klagstorp,,128721,Källstorp,100
37,101031.0,Källstorp,,128721,Källstorp,100
38,101032.0,Anderslöv,,128715,Dalköpinge,1.32
39,101032.0,Anderslöv,,128731,Anderslöv,98.67
40,101033.0,Grönby,,128731,Anderslöv,100
41,101034.0,Önnarp,,128731,Anderslöv,99.95
42,101035.0,Västra Vemmenhög,,126406,Skivarp,99.9699999999999
43,101036.0,Östra Vemmenhög,,126406,Skivarp,99.9699999999999
44,101037.0,Skivarp,,126406,Skivarp,99.98
45,101038.0,Svenstorp,,126406,Skivarp,99.9899999999999
46,101039.0,Gärdslöv,,128731,Anderslöv,99.9899999999999
47,101040.0,Solberga,,126412,Villie,99.8599999999999
48,101041.0,Örsjö,,126412,Villie,99.5499999999999
49,101042.0,Skurup,,126401,Skurup,99.9899999999999
50,101043.0,Västra Nöbbelöv,,126406,Skivarp,99.92
51,101044.0,Snårestad,,128605,Ljunits,99.9099999999999
52,101045.0,Sjörup,,128605,Ljunits,99.95
53,101046.0,Katslösa,,126412,Villie,99.95
54,101047.0,Balkåkra,,128605,Ljunits,100
55,101048.0,Ystad,,128601,Ystad,99.7199999999999
56,101049.0,Bjäresjö,,128605,Ljunits,99.73
57,101050.0,Hedeskoga,,128614,Sövestadsbygden,99.5999999999999
58,101051.0,Bromma,,128614,Sövestadsbygden,100
59,101052.0,Öja,,128611,Stora Köpinge,99.87
60,101053.0,Stora Herrestad,,128611,Stora Köpinge,99.9899999999999
61,101054.0,Ingelstorp,,128617,Löderup,99.9599999999999
62,101055.0,Stora Köpinge,,128611,Stora Köpinge,99.98
63,101056.0,Glemminge,,128617,Löderup,100
64,101057.0,Tosterup,,127009,Smedstorp,100
65,101058.0,Valleberga,,128617,Löderup,100
66,101059.0,Löderup,,128617,Löderup,99.9699999999999
67,101060.0,Borrby,,129107,Borrby-Östra Hoby,99.9899999999999
68,101061.0,Hörup,,128617,Löderup,100
69,101062.0,Hannas,,129115,Hammenhög,100
70,101063.0,Östra Hoby,,129107,Borrby-Östra Hoby,100
71,101064.0,Eskilstorp,,123304,Vellinge-Månstorp,100
72,101065.0,Gessie,,123304,Vellinge-Månstorp,99.51
73,101066.0,Tygelsjö,,128008,Fosie,6
74,101066.0,Tygelsjö,,128007,Limhamn,93.9399999999999
75,101067.0,Hököpinge,,123304,Vellinge-Månstorp,99.98
76,101068.0,Södra Åkarp,,123304,Vellinge-Månstorp,100
77,101069.0,Arrie,,123304,Vellinge-Månstorp,99.8299999999999
78,101070.0,Västra Klagstorp,,128007,Limhamn,99.81
79,101071.0,Bunkeflo,,128008,Fosie,3.4
80,101071.0,Bunkeflo,,128016,Hyllie,26.3099999999999
81,101071.0,Bunkeflo,,128007,Limhamn,70.29
82,101072.0,Kulladal,,128008,Fosie,3.14
83,101072.0,Kulladal,,128016,Hyllie,96.8599999999999
84,101073.0,Oxie,,128016,Hyllie,0.67
85,101073.0,Oxie,,128010,Husie,5.95
86,101073.0,Oxie,,128008,Fosie,93.3299999999999
87,101074.0,Fosie,,128008,Fosie,100
88,101075.0,Västra Ingelstad,,123304,Vellinge-Månstorp,100
89,101076.0,Törringe-Västra Kärrstorp,,126307,Värby,1.95
90,101076.0,Törringe-Västra Kärrstorp,,126301,Svedala,98.0199999999999
91,101077.0,Svedala,,126301,Svedala,99.89
92,101078.0,Skabersjö,,126307,Värby,99.9399999999999
93,101079.0,Börringe,,126301,Svedala,99.98
94,101080.0,Hyby,,126307,Värby,99.9899999999999
95,101081.0,Slimminge,,126412,Villie,99.98
96,101082.0,Villie,2.0,126412,Villie,100
97,,,,126412,Villie,100
98,101083.0,Skårby,,128605,Ljunits,100
99,101084.0,Blentarp,,126505,Blentarp,100
100,101085.0,Sövde,,126505,Blentarp,99.9899999999999
101,101086.0,Sövestad,,128614,Sövestadsbygden,99.9899999999999
102,101087.0,Borrie,,128611,Stora Köpinge,100
103,101088.0,Högestad,,128614,Sövestadsbygden,99.8599999999999
104,101089.0,Baldringe,,128614,Sövestadsbygden,100
105,101090.0,Ramsåsa,,127005,Tomelillabygden,100
106,101091.0,Övraby,,127009,Smedstorp,100
107,101092.0,Benestad,,127005,Tomelillabygden,100
108,101093.0,Ullstorp,,127005,Tomelillabygden,99.98
109,101094.0,Tomelilla,,127005,Tomelillabygden,100
110,101095.0,Tryde,,127005,Tomelillabygden,100
111,101096.0,Kverrestad,,127009,Smedstorp,100
112,101097.0,Spjutstorp,,127014,Brösarp-Tranås,100
113,101098.0,Bollerup,,127009,Smedstorp,100
114,101099.0,Östra Ingelstad,,127009,Smedstorp,100
115,101100.0,Hammenhög,,129115,Hammenhög,100
116,101101.0,Vallby,,129115,Hammenhög,99.98
117,101102.0,Östra Herrestad,,129115,Hammenhög,99.81
118,101103.0,Smedstorp,,127009,Smedstorp,99.98
119,101104.0,Stiby,,129111,Stiby,100
120,101105.0,Bolshög,,129111,Stiby,99.9899999999999
121,101106.0,Östra Nöbbelöv,,129101,Simrishamn,99.92
122,101107.0,Östra Tommarp,,129111,Stiby,100
123,101108.0,Järrestad,2.0,129101,Simrishamn,99.9899999999999
124,,,,129101,Simrishamn,100
125,101109.0,Simris,,129101,Simrishamn,100
126,101110.0,Simrishamn,,129101,Simrishamn,100
127,101111.0,Gladsax,,129101,Simrishamn,99.79
128,101112.0,Limhamn,,128016,Hyllie,2.84
129,101112.0,Limhamn,,128007,Limhamn,97.06
130,101113.0,Hyllie,,128007,Limhamn,1.08
131,101113.0,Hyllie,,128016,Hyllie,98.92
132,101114.0,Eriksfält,,128016,Hyllie,30.69
133,101114.0,Eriksfält,,128008,Fosie,69.2999999999999
134,101115.0,Malmö Sankt Johannes,,128002,Malmö S:t Petri,9.69
135,101115.0,Malmö Sankt Johannes,,128016,Hyllie,27.9699999999999
136,101115.0,Malmö Sankt Johannes,,128006,Malmö S:t Johannes,62.34
137,101116.0,Möllevången,,128006,Malmö S:t Johannes,100
138,101117.0,Slottsstaden,,128002,Malmö S:t Petri,99.8499999999999
139,101118.0,Malmö Sankt Petri,,128006,Malmö S:t Johannes,7.03
140,101118.0,Malmö Sankt Petri,,128002,Malmö S:t Petri,92.9699999999999
141,101119.0,Sofielund,,128006,Malmö S:t Johannes,99.78
142,101120.0,Västra Skrävlinge,,128010,Husie,25.57
143,101120.0,Västra Skrävlinge,,128008,Fosie,74.4399999999999
144,101121.0,Husie,,128010,Husie,99.9599999999999
145,101122.0,Malmö Sankt Pauli,,128010,Husie,28.46
146,101122.0,Malmö Sankt Pauli,,128006,Malmö S:t Johannes,71.51
147,101123.0,Kirseberg,,128010,Husie,45.21
148,101123.0,Kirseberg,,128002,Malmö S:t Petri,54.6499999999999
149,101124.0,Burlöv,,123101,Burlöv,99.64
150,101125.0,Södra Sallerup,,128010,Husie,99.8799999999999
151,101126.0,Bjärshög,,126307,Värby,99.8199999999999
152,101127.0,Särslöv,,123006,Uppåkra,99.9399999999999
153,101128.0,Mölleberga,,123006,Uppåkra,99.87
154,101129.0,Bara,,126307,Värby,100
155,101130.0,Tottarp,,123006,Uppåkra,99.6099999999999
156,101131.0,Görslöv,,123006,Uppåkra,99.81
157,101132.0,Staffanstorp,,123013,S:t Staffan,99.93
158,101133.0,Genarp,,126301,Svedala,0.67
159,101133.0,Genarp,,128120,Genarp,99.2399999999999
160,101134.0,Kyrkheddinge,,123013,S:t Staffan,100
161,101135.0,Esarp,,123013,S:t Staffan,99.98
162,101136.0,Bonderup,,128116,Dalby,99.9699999999999
163,101137.0,Veberöd,,128121,Veberöd,100
164,101138.0,Everlöv,,126505,Blentarp,99.9899999999999
165,101139.0,Ilstorp,,126503,Sjöbo,99.98
166,101140.0,Björka,,126503,Sjöbo,99.98
167,101141.0,Södra Åsum,,126503,Sjöbo,99.7999999999999
168,101142.0,Röddinge,,126510,Lövestad,99.9899999999999
169,101143.0,Vanstad,,126510,Lövestad,100
170,101144.0,Tolånga,,126510,Lövestad,99.9899999999999
171,101145.0,Tranås,,127014,Brösarp-Tranås,100
172,101146.0,Onslunda,,127014,Brösarp-Tranås,100
173,101147.0,Lövestad,,126510,Lövestad,100
174,101148.0,Fågeltofta,,127014,Brösarp-Tranås,100
175,101149.0,Sankt Olof,,129117,S:t Olof,99.9899999999999
176,101150.0,Östra Vemmerlöv,,129111,Stiby,99.98
177,101151.0,Rörum,,129118,Rörum,99.68
178,101152.0,Södra Mellby,,129119,Kivik,99.9699999999999
179,101153.0,Lomma,,126201,Lomma,99.9
180,101154.0,Flädie,,126205,Bjärred,100
181,101155.0,Fjelie,,126205,Bjärred,99.87
182,101156.0,Borgeby,,126205,Bjärred,100.01
183,101157.0,Uppåkra,,123006,Uppåkra,100
184,101158.0,Knästorp,,123006,Uppåkra,100
185,101159.0,Lunds Helgeand,,128124,Helgeand,100.01
186,101160.0,Lunds domkyrkodistrikt,,128101,Lunds domkyrkoförsamling,100
187,101161.0,Stora Råby,,128125,Lunds östra stadsförsamling,99.9899999999999
188,101162.0,Lunds Sankt Peters kloster,,128102,S:t Peters kloster,99.93
189,101163.0,Norra Nöbbelöv,,128105,Norra Nöbbelöv,99.95
190,101164.0,Lunds Allhelgona,,128104,Lunds Allhelgonaförsamling,100
191,101165.0,Östra Torn,,128125,Lunds östra stadsförsamling,100
192,101166.0,Lunds Sankt Hans,,128125,Lunds östra stadsförsamling,99.9899999999999
193,101167.0,Bjällerup,,123013,S:t Staffan,99.9899999999999
194,101168.0,Hardeberga,,128113,Södra Sandby,99.93
195,101169.0,Dalby,,128116,Dalby,99.9699999999999
196,101170.0,Södra Sandby,,128113,Södra Sandby,99.98
197,101171.0,Hällestad,,128116,Dalby,99.9699999999999
198,101172.0,Silvåkra,,128121,Veberöd,99.98
199,101173.0,Vomb,,128121,Veberöd,99.9899999999999
200,101174.0,Revinge,,128113,Södra Sandby,99.8599999999999
201,101175.0,Harlösa,,128513,Löberöd,99.9899999999999
202,101176.0,Öved,,126511,Vollsjö,99.9899999999999
203,101177.0,Brandstad,,126511,Vollsjö,100
204,101178.0,Östra Kärrstorp,,126511,Vollsjö,100
205,101179.0,Östraby,,126602,Hörby,99.9899999999999
206,101180.0,Vollsjö,,126511,Vollsjö,100
207,101181.0,Fränninge,,126511,Vollsjö,99.9899999999999
208,101182.0,Eljaröd,,127014,Brösarp-Tranås,100
209,101183.0,Andrarum,,127014,Brösarp-Tranås,99.9899999999999
210,101184.0,Vitaby,,129117,S:t Olof,0.89
211,101184.0,Vitaby,,129119,Kivik,99.1099999999999
212,101185.0,Brösarp,,127014,Brösarp-Tranås,99.9899999999999
213,101186.0,Ravlunda,,127014,Brösarp-Tranås,2.14
214,101186.0,Ravlunda,,129119,Kivik,97.84
215,101187.0,Barsebäck,,126110,Hofterup,0.91
216,101187.0,Barsebäck,,126112,Löddebygden,99.0999999999999
217,101188.0,Löddeköpinge,,126112,Löddebygden,99.64
218,101189.0,Hög,,126112,Löddebygden,99.9899999999999
219,101190.0,Hofterup,,126110,Hofterup,99.9899999999999
220,101191.0,Västra Karaby,,126110,Hofterup,1.83
221,101191.0,Västra Karaby,,126103,Västra Karaby,97.9599999999999
222,101192.0,Dagstorp,,126102,Dagstorp,99.92
223,101193.0,Lackalänga-Stävie,,126104,Lackalänga-Stävie,99.9599999999999
224,101194.0,Kävlinge,,126101,Kävlinge,100
225,101195.0,Torn,,128127,Torn,99.9099999999999
226,101196.0,Stora Harrie,,126101,Kävlinge,100
227,101197.0,Södervidinge,,126101,Kävlinge,100.02
228,101198.0,Lilla Harrie,,126101,Kävlinge,99.7699999999999
229,101199.0,Virke,,126101,Kävlinge,100
230,101200.0,Gårdstånga-Holmby,,128513,Löberöd,1.13
231,101200.0,Gårdstånga-Holmby,,128501,Eslöv,98.7
232,101201.0,Örtofta,,128501,Eslöv,100
233,101202.0,Borlunda-Skeglinge,,128501,Eslöv,100
234,101203.0,Eslöv,,128501,Eslöv,99.8299999999999
235,101204.0,Skarhult,,128501,Eslöv,100
236,101205.0,Hammarlunda,2.0,128513,Löberöd,99.8499999999999
237,,,,128513,Löberöd,99.9899999999999
238,101206.0,Hurva,,128509,Ringsjö,99.9099999999999
239,101207.0,Östra Strö,2.0,128501,Eslöv,100
240,,,,128501,Eslöv,100
241,101208.0,Gudmuntorp,,126704,Ringsjö,99.95
242,101209.0,Västerstad,,126602,Hörby,100
243,101210.0,Högseröd,,128513,Löberöd,100
244,101211.0,Lyby,,126602,Hörby,100
245,101212.0,Hörby,2.0,126602,Hörby,100
246,,,,126602,Hörby,100
247,101213.0,Långaröd,,126602,Hörby,100
248,101214.0,Östra Sallerup,,126602,Hörby,100
249,101215.0,Hörröd,,129029,Degeberga-Everöd,100
250,101216.0,Huaröd,,129029,Degeberga-Everöd,100
251,101217.0,Maglehem,,127014,Brösarp-Tranås,4.21
252,101217.0,Maglehem,,129029,Degeberga-Everöd,95.75
253,101218.0,Degeberga,,129029,Degeberga-Everöd,100
254,101219.0,Vittskövle,,129029,Degeberga-Everöd,100
255,101220.0,Sankt Ibb,,128201,Landskrona,99.79
256,101221.0,Landskrona,,128204,Häljarp,3.86
257,101221.0,Landskrona,,128201,Landskrona,96.14
258,101222.0,Tofta,,128204,Häljarp,99.7
259,101223.0,Härslöv,,128201,Landskrona,99.87
260,101224.0,Saxtorp,,128204,Häljarp,100
261,101225.0,Annelöv,,128204,Häljarp,99.8499999999999
262,101226.0,Billeberga,,121408,Billeberga-Sireköpinge,99.9399999999999
263,101227.0,Källs Nöbbelöv,,121402,Svalöv,4.11
264,101227.0,Källs Nöbbelöv,,121410,Teckomatorp,95.89
265,101228.0,Asmundtorp,,128204,Häljarp,99.92
266,101229.0,Sireköpinge,,121408,Billeberga-Sireköpinge,99.95
267,101230.0,Tirup,,121402,Svalöv,100
268,101231.0,Norrvidinge,,121410,Teckomatorp,99.9899999999999
269,101232.0,Norra Skrävlinge,,128511,Marieholm,5.1
270,101232.0,Norra Skrävlinge,,121402,Svalöv,10.32
271,101232.0,Norra Skrävlinge,,121410,Teckomatorp,84.5799999999999
272,101233.0,Reslöv,,128511,Marieholm,99.98
273,101234.0,Östra Karaby,,128511,Marieholm,100
274,101235.0,Felestad,,121402,Svalöv,99.9899999999999
275,101236.0,Västra Strö,,128502,Östra Onsjö,100
276,101237.0,Torrlösa,,121402,Svalöv,100
277,101238.0,Trollenäs,,128501,Eslöv,2.34
278,101238.0,Trollenäs,,128502,Östra Onsjö,97.6599999999999
279,101239.0,Bosarp,,128502,Östra Onsjö,100
280,101240.0,Bosjökloster,2.0,126702,Höör,1.25
281,,,,126704,Ringsjö,98.7399999999999
282,,,,126704,Ringsjö,99.8499999999999
283,101241.0,Stehag,,128502,Östra Onsjö,99.9899999999999
284,101242.0,Fulltofta,,126602,Hörby,100
285,101243.0,Södra Rörum,,126602,Hörby,100
286,101244.0,Äspinge,,126602,Hörby,100
287,101245.0,Svensköp,,126602,Hörby,100
288,101246.0,Linderöd,,129033,Linderöd,100
289,101247.0,Östra Sönnarslöv,,129029,Degeberga-Everöd,100
290,101248.0,Västra Vram,,129032,Västra och Östra Vram,100
291,101249.0,Östra Vram,,129032,Västra och Östra Vram,100
292,101250.0,Everöd,,129029,Degeberga-Everöd,99.9899999999999
293,101251.0,Lyngsjö,,129029,Degeberga-Everöd,100
294,101252.0,Köpinge,,129008,Köpinge,100
295,101253.0,Åhus,,129015,Åhus,99.93
296,101254.0,Raus,,128303,Raus,99.9
297,101255.0,Glumslöv,,128201,Landskrona,0.65
298,101255.0,Glumslöv,,128316,Kvistofta,1.06
299,101255.0,Glumslöv,,128207,Kvistofta,98.29
300,101256.0,Kvistofta,,128316,Kvistofta,99.9699999999999
