6,Länskod,Länsnamn,Kommunkod ,Kommunnamn,Tätortskod,Beteckning på tätort,Del av tätort i annan kommun: 1=Ja,Befolkning 2020-12-31,"Andel av total befolkning i kommun 2020-12-31",Landareal i hektar,Andel av total landareal kommun 
7,01,Stockholm,0114,Upplands Väsby,0114TB103,Löwenströmska lasarettet,,581,0.012313496100373007,66,0.008837503549805944
8,01,Stockholm,0114,Upplands Väsby,0114TB107,Båtbyggartorp och Harva,,221,0.004683791115632417,48,0.006383077725084362
9,01,Stockholm,0115,Vallentuna,0115TB101,Brottby,,248,0.007268677276590756,38,0.0010706508460892935
10,01,Stockholm,0115,Vallentuna,0115TB102,"Ekskogen, Älgeby och Långsjötorp",,347,0.01017028635071368,215,0.006005509210624155
11,01,Stockholm,0115,Vallentuna,0115TB103,Ekskogen,,263,0.007708315015094229,61,0.0017142148703960158
12,01,Stockholm,0115,Vallentuna,0115TB104,Johannesudd,,306,0.008968609865470852,16,0.0004396102963087618
13,01,Stockholm,0115,Vallentuna,0115TB105,Karby,,838,0.0245610949910607,55,0.0015270476300163086
14,01,Stockholm,0115,Vallentuna,0115TB106,Kårsta,,513,0.015035610656818781,80,0.002222430325593565
15,01,Stockholm,0115,Vallentuna,0115TB107,Lindholmen,,1186,0.034760690524341276,113,0.003165447957415714
16,01,Stockholm,0115,Vallentuna,0115TC108,Vallentuna,1,25056,0.7343708783962015,1372,0.03836516103566898
17,01,Stockholm,0160,Täby,0115TC108,Vallentuna,1,8280,0.11380661122946877,399,0.06571452109868019
18,01,Stockholm,0117,Österåker,0117TB101,Bammarboda,,671,0.01438555869993997,312,0.00999381147505557
19,01,Stockholm,0117,Österåker,0117TB104,Laggarsvik och Linanäs,,321,0.006881914072549524,382,0.012216333928067761
20,01,Stockholm,0117,Österåker,0117TB105,Täljö,,476,0.010204956693251008,109,0.003488784939313717
21,01,Stockholm,0117,Österåker,0117TB106,Rydbo,,580,0.012434611096818454,41,0.0013277571511399148
22,01,Stockholm,0117,Österåker,0117TB107,Solberga,,528,0.011319783895034732,133,0.0042431574859541615
23,01,Stockholm,0117,Österåker,0117TB108,Nyhagen och Översättra,,671,0.01438555869993997,76,0.0024232605298568316
24,01,Stockholm,0117,Österåker,0117TB109,Stava,,377,0.008082497212931996,111,0.0035662295427310764
25,01,Stockholm,0117,Österåker,0117TB110,Nolsjö och Mellansjö,,572,0.012263099219620958,283,0.00905564005771688
26,01,Stockholm,0117,Österåker,0117TB111,Svinninge,,2857,0.06125117914415573,578,0.018519729164792446
27,01,Stockholm,0117,Österåker,0117TB113,Spånlöt,,473,0.010140639739301946,23,0.0007295480135731352
28,01,Stockholm,0117,Österåker,0117TB154,Näs*,,291,0.006238744533058914,23,0.0007476557720240895
29,01,Stockholm,0117,Österåker,0117TC112,Åkersberga,,35747,0.7663793842723609,2534,0.08111097629183457
30,01,Stockholm,0120,Värmdö,0120TB101,Björnömalmen och Klacknäset,,647,0.014199183601808366,155,0.0034826103732087414
31,01,Stockholm,0120,Värmdö,0120TB102,"Grönskan, Vedhamn och Baldersnäs",,273,0.005991309309572927,191,0.004291901658833156
32,01,Stockholm,0120,Värmdö,0120TB103,Brunn,,1323,0.029034806654084186,204,0.004584895286537091
33,01,Stockholm,0120,Värmdö,0120TB104,Betsede,,319,0.007000833955141992,56,0.0012555840085123116
34,01,Stockholm,0120,Värmdö,0120TB105,Djurö,,1179,0.025874555589694072,246,0.005540638337792731
35,01,Stockholm,0120,Värmdö,0120TB108,Fågelvikshöjden,,2333,0.051200456480709304,581,0.013076484896345168
36,01,Stockholm,0120,Värmdö,0120TB113,Norra Ingaröstrand och Skälsmara,,882,0.01935653776938946,455,0.010249506327810947
37,01,Stockholm,0120,Värmdö,0120TB114,Kopparmora,,2302,0.05052012465434754,735,0.016551234355034486
38,01,Stockholm,0120,Värmdö,0120TB115,Långvik,,599,0.013145766580344994,144,0.003247458660937133
39,01,Stockholm,0120,Värmdö,0120TB117,Norra Lagnö,,377,0.0082737128560769,94,0.002124444808834497
40,01,Stockholm,0120,Värmdö,0120TB119,Lugnet och Skälsmara,,701,0.01538427775095466,292,0.006566431372301696
41,01,Stockholm,0120,Värmdö,0120TB120,Stavsnäs,,1871,0.041061317649124345,971,0.021877938692524947
42,01,Stockholm,0120,Värmdö,0120TB121,Strömma,,2622,0.057542904797436685,708,0.01595123710297595
43,01,Stockholm,0120,Värmdö,0120TB123,Koviksudde och Skeviksstrand,,338,0.00741781152613791,92,0.002077369418159433
44,01,Stockholm,0120,Värmdö,0120TB125,Ängsvik,,441,0.00967826888469473,78,0.001751161737302652
45,01,Stockholm,0120,Värmdö,0120TB126,Älvsala,,381,0.008361497607865514,335,0.007547198710179343
46,01,Stockholm,0120,Värmdö,0120TB127,Norra Vindö,,263,0.005771847430101391,496,0.011164142877639798
47,01,Stockholm,0120,Värmdö,0120TB138,Västra Älvsala,,203,0.004455076153272177,132,0.00297827301789518
48,01,Stockholm,0120,Värmdö,0120TB178,Södra Vindö*,,342,0.0075055962779265245,393,0.008858417271307638
49,01,Stockholm,0120,Värmdö,0120TC109,Gustavsberg,,24341,0.5341921608216653,1491,0.03358840386720956
50,01,Stockholm,0125,Ekerö,0125TB101,Drottningholm,,316,0.010942207140136431,48,0.002194697837457391
51,01,Stockholm,0125,Ekerö,0125TB103,Ekerö sommarstad,,594,0.02056857924443367,94,0.00432494261280781
52,01,Stockholm,0125,Ekerö,0125TB104,Parksidan och Solsidan,,961,0.03327677551161744,57,0.002635514276645368
53,01,Stockholm,0125,Ekerö,0125TB105,Hilleshögby,,223,0.007721874026108937,74,0.00340350441386861
54,01,Stockholm,0125,Ekerö,0125TB106,Kungsberga,,917,0.03175317704906679,253,0.011634166425157442
55,01,Stockholm,0125,Ekerö,0125TB107,Lilla Stenby,,250,0.008656809446310467,84,0.003854422838952448
56,01,Stockholm,0125,Ekerö,0125TB108,Lurudden,,229,0.007929637452820389,57,0.0026090954674468565
57,01,Stockholm,0125,Ekerö,0125TB109,Sundby,,471,0.01630942899684892,79,0.00363772236099419
58,01,Stockholm,0125,Ekerö,0125TB111,Stenhamra,,3636,0.12590463658713943,348,0.015990808848898027
59,01,Stockholm,0125,Ekerö,0125TB112,Söderby,,279,0.009660999342082482,72,0.0033165012903492914
60,01,Stockholm,0125,Ekerö,0125TB113,Tureholm,,1097,0.03798607985041033,329,0.01513108200733268
61,01,Stockholm,0125,Ekerö,0125TB114,Älvnäs,,802,0.02777104470376398,58,0.0026470791184223237
62,01,Stockholm,0125,Ekerö,0125TB115,Ölsta,,730,0.025277883583226565,239,0.01100895654213991
63,01,Stockholm,0125,Ekerö,0125TB120,Ekeby tomtområde,,210,0.007271719934900793,111,0.00510449299163228
64,01,Stockholm,0125,Ekerö,0125TB157,"Slottshagen, Bona, Helgö bol och Kungens täppa",,291,0.010076526195505385,99,0.0045518968824609105
65,01,Stockholm,0125,Ekerö,0125TB161,Sånga Säby,,250,0.008656809446310467,34,0.0015834172865403459
66,01,Stockholm,0125,Ekerö,0125TB173,Jungfrusund,,299,0.01035354409778732,14,0.0006496736175321897
67,01,Stockholm,0125,Ekerö,0125TC102,Ekerö,,12332,0.4270230963676028,605,0.027815008533325972
68,01,Stockholm,0126,Huddinge,0126TB101,Gladö kvarn,,772,0.00681774025469382,142,0.01086825448134673
69,01,Stockholm,0126,Huddinge,0126TB102,Vidja,,882,0.007789179928290089,191,0.014608307714175019
70,01,Stockholm,0126,Huddinge,0126TB103,Östorp och Ådran,1,223,0.0019693731564724374,99,0.007566145571840247
71,01,Stockholm,0136,Haninge,0126TB103,Östorp och Ådran,1,23,0.0002454904472195538,12,0.0002658148353904495
